13:13:55 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Successfully switched to new tab/window -> 0C69BE2B3574F801E06ADE7E720B0916
13:13:55 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Closed the newly opened tab/window -> 0C69BE2B3574F801E06ADE7E720B0916
13:13:55 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Switched back to the original window -> 957267C4F3BC7AB24D44A6AA894785A5
13:13:55 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Within getProductByIndex method
13:13:55 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Within getProductByIndex method
13:13:55 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Within smoothScrollToElement method
13:13:55 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Within safeFindElement method
13:13:55 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (ec0adab6ebf6c004d168744f3bae18f9)] -> xpath: (//div[@data-cy='title-recipe'])[2]]
13:13:55 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Successfully scrolled to element: By.xpath: (//div[@data-cy='title-recipe'])[2]
13:13:55 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Clicking product index=2 for filter='Windows 11 Home'
13:13:55 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Within switchToNewWindow method
13:13:55 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05] Within safeFindElement method
13:13:58 [TestNG-test-Test-1] INFO  verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05 - [verifyingOperatingSystemVersionFilterFunctionality_Laptop_13-13-05]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (ec0adab6ebf6c004d168744f3bae18f9)] -> xpath: //span[@id='productTitle']]
